14;1;1.73187198457e-05;57740.988301;344715.499674;402456.487975;66284.3048524;6186.55396281;10310.9429222;310.217609838;2.79413935092e-05;6.64370025067e-07;0.010303426206;3
19;1;1.27611483665e-05;78362.8535047;375648.297365;454011.15087;69433.0745961;6186.54878151;10310.9249027;361.392800151;1.79774907387e-05;9.76012882792e-07;0.0150173622396;3
24;1;1.01025714652e-05;98984.6994348;406581.060329;505565.759764;71841.859075;6186.54852927;10310.9201276;406.17053095;1.33348010643e-05;1.23848921285e-06;0.0191849762141;3
29;1;8.36074701506e-06;119606.537334;437513.851189;557120.388523;73793.1192259;6186.5725923;10310.9419085;446.479471588;1.04288872618e-05;1.49334785837e-06;0.0232606652932;3
34;1;7.13122454421e-06;140228.37085;468447.14265;608675.5135;75433.2387891;6186.8155184;10311.1834991;483.435532906;8.40189177226e-06;1.74027415825e-06;0.0271113142877;3
39;1;6.21696453831e-06;160850.201708;499383.621435;660233.823144;76848.0084885;6188.05407211;10312.4212139;517.742768507;6.92357998523e-06;1.97684545377e-06;0.0307127145652;3
44;1;5.51049103979e-06;181472.030855;530332.308817;711804.339672;78092.1731922;6192.09943652;10316.4660234;549.85900249;5.80919786275e-06;2.20219501743e-06;0.0341110928801;3
49;1;4.94819588139e-06;202093.858847;561314.099144;763407.957991;79202.9902071;6201.85078181;10326.2169857;580.078149905;4.94412024695e-06;2.4165906479e-06;0.0373663195617;3
54;1;4.49002949832e-06;222715.686027;592366.189229;815081.875256;80207.1416616;6220.81656243;10345.1824923;608.584335679;4.25469912741e-06;2.62084936859e-06;0.0405326676147;3
59;1;4.10951845953e-06;243337.512618;623543.299908;866880.812526;81124.5154739;6252.37257741;10376.7383051;635.495572853;3.69253882022e-06;2.81598182486e-06;0.0436527365384;3
64;1;3.78846228614e-06;263959.338769;654915.285236;918874.624004;81970.3837114;6299.10817515;10423.4737498;660.899180726;3.22521039363e-06;3.00301068308e-06;0.0467572901305;3
69;1;3.513936003e-06;284581.164582;686562.14339;971143.307972;82756.7197103;6362.45685478;10486.8223109;684.877028831;2.83055645855e-06;3.18288800466e-06;0.0498670870535;3
74;1;3.2765078729e-06;305202.990132;718567.956287;1023770.94642;83493.038086;6442.6289558;10566.9943184;707.519745537;2.49310532268e-06;3.3564640972e-06;0.0527535775151;3
79;1;3.06913394104e-06;325824.815473;751015.085121;1076839.90059;84186.962774;6538.76377019;10663.1290578;728.931276122;2.20177523636e-06;3.52448170106e-06;0.0556107434076;3
84;1;2.88644738521e-06;346446.640644;783979.452434;1130426.09308;84844.6337493;6649.19526227;10773.5604887;749.226722397;1.94839404986e-06;3.68758181828e-06;0.0584641410136;3
89;1;2.72428741095e-06;367068.465676;817527.250051;1184595.71573;85471.0124718;6771.7448739;10896.11005;768.526740804;1.72674532266e-06;3.84631420933e-06;0.0613065888165;3
94;1;2.57937849944e-06;387690.290594;851713.058396;1239403.34899;86070.1191896;6903.98677953;11028.3519136;786.951185091;1.53195547376e-06;4.0011491117e-06;0.0643489929694;3
99;1;2.44910685294e-06;408312.115415;886579.163978;1294891.27939;86645.2211195;7043.45948269;11167.8245814;804.613683769;1.36010084226e-06;4.15248856216e-06;0.0674421007784;3
104;1;2.3313613272e-06;428933.940154;922155.784707;1351089.72486;87198.9831829;7187.81748711;11312.1825558;821.61789151;1.20795428223e-06;4.30067663922e-06;0.0707236507375;3
109;1;2.22441814397e-06;449555.764824;958461.912936;1408017.67776;87733.5891319;7334.92813919;11459.2931821;838.055478427;1.07281907855e-06;4.4460084117e-06;0.0740486330524;3
114;1;2.12685594225e-06;470177.589434;995506.526369;1465684.1158;88250.8387986;7482.92381196;11607.2888327;854.005557508;9.52416813966e-07;4.58873760078e-06;0.077327467544;3
119;1;2.03749224529e-06;490799.413992;1033289.97188;1524089.38587;88752.2259446;7630.22073238;11754.5857338;869.535127711;8.44808564683e-07;4.72908306619e-06;0.0805890473819;3
124;1;1.9553352984e-06;511421.238505;1071805.38198;1583226.62048;89239.0003496;7775.51478413;11899.8797686;884.700130982;7.48336599241e-07;4.86723425952e-06;0.0838921655489;3
129;1;1.87954710734e-06;532043.062978;1111040.03078;1643083.09375;89712.2171423;7917.7627657;12042.1277353;899.546805543;6.61579661133e-07;5.00335579246e-06;0.0872074473909;3
134;1;1.80941475163e-06;552664.887417;1150976.57379;1703641.4612;90172.7758626;8056.15555842;12180.520515;914.113114517;5.8331671152e-07;5.13759125733e-06;0.0904858575431;3
139;1;1.7443278893e-06;573286.711824;1191594.14326;1764880.85508;90621.451305;8190.0878201;12314.452765;928.43011312;5.12497303001e-07;5.27006642137e-06;0.0937567917596;3
144;1;1.68376094809e-06;593908.536205;1232869.29005;1826777.82625;91058.9178239;8319.12730812;12443.4922426;942.523181136;4.48216586806e-07;5.40089189887e-06;0.0969515228083;3
149;1;1.62725890237e-06;614530.36056;1274776.7754;1889307.13596;91485.7684634;8442.98577436;12567.3506996;956.413090379;3.89694101934e-07;5.53016538932e-06;0.10012888678;3
154;1;1.57442582075e-06;635152.184894;1317290.22361;1952442.40851;91902.530009;8561.49252696;12685.8574439;970.116903514;3.36255660053e-07;5.65797355507e-06;0.103387099134;3
159;1;1.52491557451e-06;655774.009208;1360382.65023;2016156.65944;92309.674838;8674.57116535;12798.9360747;983.648715452;2.87318070563e-07;5.78439359962e-06;0.106667281383;3
164;1;1.47842424579e-06;676395.833504;1404026.88225;2080422.71575;92707.6302647;8782.21960529;12906.5845079;997.020255528;2.42375787047e-07;5.90949459699e-06;0.109910468876;3
