84;1;5.71977904577e-05;17483.1928296;26214.1230252;43697.3158548;5613.27338064;312.200148135;520.333756862;170.700480547;3.52011939133e-05;6.78244579144e-06;0.0052936963018;3
89;1;5.39844284442e-05;18523.8600985;27775.1243239;46298.9844224;5643.3588527;312.200112323;520.333674145;175.707426754;3.13073931781e-05;7.20928585813e-06;0.00562684564999;3
94;1;5.11129140258e-05;19564.527264;29336.1253656;48900.6526296;5671.79946355;312.200086148;520.333611521;180.575594499;2.81061988148e-05;7.63340402108e-06;0.00595787034223;3
99;1;4.85314519774e-05;20605.1943483;30897.1262129;51502.3205613;5698.76578698;312.200066621;520.333563154;185.315921208;2.54345005026e-05;8.05468103436e-06;0.00628667737742;3
104;1;4.61982077313e-05;21645.861368;32458.1269104;54103.9882783;5724.40316651;312.200051785;520.333525135;189.937978909;2.317529324e-05;8.47302792703e-06;0.00661319735857;3
109;1;4.40790228114e-05;22686.5283352;34019.1274901;56705.6558254;5748.83645831;312.200040328;520.33349478;194.450201582;2.12428196234e-05;8.88838021986e-06;0.00693737998879;3
114;1;4.21457314723e-05;23727.1952596;35580.1279761;59307.3232357;5772.17370958;312.200031348;520.333470204;198.860066041;1.95730046958e-05;9.30069333009e-06;0.00725919049066;3
119;1;4.03749017179e-05;24767.8621483;37141.1283865;61908.9905348;5794.50904662;312.200024216;520.333450059;203.174237443;1.81171410336e-05;9.70993889221e-06;0.00757860673809;3
124;1;3.87468809139e-05;25808.5290071;38702.1287349;64510.657742;5815.92496812;312.200018483;520.33343336;207.39868754;1.6837623654e-05;1.01161017918e-05;0.00789561694334;3
129;1;3.72450633507e-05;26849.1958406;40263.1290323;67112.3248729;5836.49418489;312.200013824;520.333419379;211.538791652;1.57050092428e-05;1.05191777595e-05;0.00821021778051;3
134;1;3.58553217869e-05;27889.8626526;41824.1292869;69713.9919394;5856.28110944;312.200009999;520.333407565;215.599408881;1.46959498511e-05;1.09191714082e-05;0.00852241285453;3
139;1;3.456556168e-05;28930.529446;43385.1295055;72315.6589514;5875.3430726;312.200006831;520.3333975;219.584948957;1.37917150193e-05;1.13160946243e-05;0.00883221144607;3
144;1;3.33653682873e-05;29971.1962233;44946.1296935;74917.3259168;5893.73132506;312.200004185;520.33338886;223.499428355;1.29771201639e-05;1.17099652433e-05;0.00913962747796;3
149;1;3.22457248193e-05;31011.8629866;46507.1298554;77518.992842;5911.4918678;312.200001957;520.333381393;227.346517708;1.22397356492e-05;1.21008059541e-05;0.00944467866078;3
154;1;3.11987854995e-05;32052.5297376;48068.1299948;80120.6597323;5928.66614554;312.200000069;520.333374897;231.129582115;1.15692961293e-05;1.24886433912e-05;0.00974738578398;3
159;1;3.02176914422e-05;33093.1964778;49629.1301146;82722.3265923;5945.29162921;312.199998457;520.333369214;234.851715604;1.095725477e-05;1.28735073783e-05;0.010047772126;3
164;1;2.92964202117e-05;34133.8632084;51190.1302173;85323.9934256;5961.4023083;312.199997073;520.333364216;238.515770751;1.03964416927e-05;1.32554302977e-05;0.010345862962;3
169;1;2.84296620873e-05;35174.5299304;52751.130305;87925.6602354;5977.02910921;312.199995878;520.333359797;242.124384264;9.88080026602e-06;1.36344465632e-05;0.0106416851524;3
174;1;2.76127176612e-05;36215.1966448;54312.1303796;90527.3270244;5992.20025262;312.199994841;520.333355873;245.679999183;9.40518108643e-06;1.40105921775e-05;0.0109352667979;3
179;1;2.68414125997e-05;37255.8633524;55873.1304425;93128.9937949;6006.94156016;312.199993936;520.333352373;249.18488423;8.9651799895e-06;1.43839043621e-05;0.0112266369502;3
184;1;2.61120263009e-05;38296.5300538;57434.1304949;95730.6605488;6021.27671887;312.199993143;520.333349239;252.641150741;8.55700892727e-06;1.47544212454e-05;0.0115158253687;3
189;1;2.54212318779e-05;39337.1967497;58995.1305381;98332.3272878;6035.22751022;312.199992445;520.333346422;256.050767535;8.17739296309e-06;1.5122181601e-05;0.0118028623165;3
194;1;2.47660454217e-05;40377.8634405;60556.130573;100933.994013;6048.81400913;312.199991828;520.333343882;259.415574039;7.82348683316e-06;1.54872246274e-05;0.0120877783882;3
199;1;2.41437829141e-05;41418.5301267;62117.1306003;103535.660727;6062.05475773;312.199991281;520.333341583;262.737291878;7.4928073259e-06;1.58495897633e-05;0.0123706043658;3
204;1;2.35520234757e-05;42459.1968087;63678.1306209;106137.32743;6074.96691757;312.199990793;520.333339496;266.017535184;7.18317792194e-06;1.62093165316e-05;0.0126513710971;3
209;1;2.29885778906e-05;43499.8634869;65239.1306354;108738.994122;6087.56640334;312.199990358;520.333337596;269.257819756;6.89268321978e-06;1.65664444098e-05;0.0129301093943;3
214;1;2.24514615424e-05;44540.5301616;66800.1306443;111340.660806;6099.8680008;312.199989967;520.333335862;272.459571253;6.61963115775e-06;1.69210127197e-05;0.0132068499482;3
219;1;2.19388710582e-05;45581.1968331;68361.1306481;113942.327481;6111.8854711;312.199989617;520.333334275;275.624132523;6.36252168251e-06;1.72730605376e-05;0.0134816232578;3
224;1;2.14491640808e-05;46621.8635016;69922.1306473;116543.994149;6123.63164334;312.1999893;520.333332819;278.752770184;6.12002040425e-06;1.7622626617e-05;0.0137544595704;3
229;1;2.09808416903e-05;47662.5301674;71483.1306422;119145.66081;6135.11849685;312.199989014;520.333331481;281.846680549;5.89093651917e-06;1.79697493271e-05;0.0140253888331;3
234;1;2.05325330795e-05;48703.1968306;73044.1306332;121747.327464;6146.35723464;312.199988755;520.333330247;284.90699497;5.67420419944e-06;1.83144666004e-05;0.0142944406523;3
