,dwnstrm [Ambient],,
,CO2,,,
04/05/17 10:15:22.069,"1278",,
04/05/17 10:15:27.068,"1337",,
04/05/17 10:15:32.069,"1354",,
04/05/17 10:15:37.069,"1351",,
04/05/17 10:15:42.069,"1351",,
04/05/17 10:15:47.068,"1327",,
04/05/17 10:15:52.069,"1291",,
04/05/17 10:15:57.069,"1288",,
04/05/17 10:16:02.068,"1268",,
04/05/17 10:16:07.069,"1226",,
04/05/17 10:16:12.069,"1176",,
04/05/17 10:16:17.069,"1139",,
04/05/17 10:16:22.068,"1142",,
04/05/17 10:16:27.069,"1087",,
04/05/17 10:16:32.069,"1075",,
04/05/17 10:16:37.068,"1067",,
04/05/17 10:16:42.069,"1064",,
04/05/17 10:16:47.069,"1040",,
04/05/17 10:16:52.069,"1028",,
04/05/17 10:16:57.068,"1008",,
04/05/17 10:17:02.069,"1028",,
04/05/17 10:17:07.069,"1025",,
04/05/17 10:17:12.068,"1005",,
04/05/17 10:17:17.069,"1002",,
04/05/17 10:17:22.069,"968",,
04/05/17 10:17:27.069,"973",,
04/05/17 10:17:32.069,"971",,
04/05/17 10:17:37.069,"951",,
04/05/17 10:17:42.069,"968",,
04/05/17 10:17:47.068,"962",,
04/05/17 10:17:52.069,"982",,
04/05/17 10:17:57.069,"1014",,
04/05/17 10:18:02.069,"1072",,
04/05/17 10:18:07.069,"1152",,
04/05/17 10:18:12.069,"1244",,
04/05/17 10:18:17.069,"1305",,
04/05/17 10:18:22.068,"1378",,
04/05/17 10:18:27.069,"1446",,
04/05/17 10:18:32.069,"1517",,
04/05/17 10:20:27.069,"1951",,
04/05/17 10:20:32.069,"1926",,
04/05/17 10:20:37.069,"1934",,
04/05/17 10:20:42.068,"1930",,
04/05/17 10:20:47.069,"1926",,
04/05/17 10:20:52.069,"1918",,
04/05/17 10:20:57.068,"1914",,
04/05/17 10:21:02.069,"1902",,
04/05/17 10:21:07.069,"1914",,
04/05/17 10:21:12.069,"1910",,
04/05/17 10:21:17.068,"1930",,
04/05/17 10:21:22.069,"1971",,
04/05/17 10:21:27.069,"2028",,
04/05/17 10:21:32.068,"2123",,
04/05/17 10:21:37.069,"2191",,
04/05/17 10:21:42.069,"2243",,
04/05/17 10:21:47.069,"2313",,
04/05/17 10:21:52.068,"2388",,
04/05/17 10:21:57.069,"2456",,
04/05/17 10:22:02.069,"2511",,
04/05/17 10:22:07.068,"2548",,
04/05/17 10:22:12.069,"2647",,
04/05/17 10:22:17.069,"2689",,
04/05/17 10:22:22.069,"2767",,
04/05/17 10:22:27.068,"2757",,
