04/04 10:42:26 Oxygen pressure: Safe
04/04 10:51:37 Environmental temperature: Warning
04/04 10:51:37 Environmental temperature: Safe
04/04 10:54:48 Oxygen pressure: Warning
04/04 10:54:48 Oxygen pressure: Safe
04/04 10:56:09 Oxygen pressure: Warning
04/04 10:56:10 Oxygen pressure: Safe
04/04 10:56:12 Oxygen pressure: Warning
04/04 10:56:12 Oxygen pressure: Safe
04/04 10:56:24 Oxygen pressure: Warning
04/04 10:56:25 Oxygen pressure: Safe
04/04 10:57:04 Oxygen pressure: Warning
04/04 10:57:04 Oxygen pressure: Safe
04/04 10:57:08 Oxygen pressure: Warning
04/04 10:57:08 Oxygen pressure: Safe
04/04 10:57:20 Oxygen pressure: Warning
04/04 10:57:20 Oxygen pressure: Safe
04/04 10:57:23 Oxygen pressure: Warning
04/04 10:57:23 Oxygen pressure: Safe
04/04 10:57:27 Oxygen pressure: Warning
04/04 10:57:27 Oxygen pressure: Safe
04/04 10:57:29 Oxygen pressure: Warning
04/04 10:57:29 Oxygen pressure: Safe
04/04 10:57:36 Oxygen pressure: Warning
04/04 10:57:37 Oxygen pressure: Safe
04/04 10:58:16 Oxygen pressure: Warning
04/04 10:58:16 Oxygen pressure: Safe
04/04 10:58:19 Oxygen pressure: Warning
04/04 10:58:20 Oxygen pressure: Safe
04/04 10:58:24 Oxygen pressure: Warning
04/04 10:58:25 Oxygen pressure: Safe
04/04 10:58:27 Environmental temperature: Warning
04/04 10:58:28 Environmental temperature: Safe
04/04 10:58:33 Oxygen pressure: Warning
04/04 10:58:34 Oxygen pressure: Safe
04/04 10:58:36 Oxygen pressure: Warning
04/04 10:58:37 Oxygen pressure: Safe
04/04 10:58:48 Oxygen pressure: Warning
04/04 10:58:49 Oxygen pressure: Safe
04/04 10:59:02 Oxygen pressure: Warning
04/04 10:59:02 Oxygen pressure: Safe
04/04 10:59:39 Oxygen pressure: Warning
04/04 10:59:39 Oxygen pressure: Safe
04/04 10:59:48 Oxygen pressure: Warning
04/04 10:59:49 Oxygen pressure: Safe
04/04 10:59:58 Oxygen pressure: Warning
04/04 10:59:59 Oxygen pressure: Safe
04/04 11:00:20 Oxygen pressure: Warning
04/04 11:00:20 Oxygen pressure: Safe
04/04 11:00:37 Oxygen pressure: Warning
04/04 11:00:37 Oxygen pressure: Safe
04/04 11:01:37 Environmental temperature: Warning
04/04 11:01:38 Environmental temperature: Safe
04/04 11:02:23 Environmental temperature: Warning
04/04 11:02:23 Environmental temperature: Safe
04/04 11:02:43 Environmental temperature: Warning
04/04 11:02:43 Environmental temperature: Safe
04/04 11:02:54 Environmental temperature: Warning
04/04 11:02:54 Environmental temperature: Safe
04/04 11:03:39 Environmental temperature: Warning
04/04 11:03:39 Environmental temperature: Safe
04/04 11:03:55 Environmental temperature: Warning
04/04 11:03:55 Environmental temperature: Safe
04/04 11:04:01 Environmental temperature: Warning
04/04 11:04:01 Environmental temperature: Safe
04/04 11:04:19 Environmental temperature: Warning
04/04 11:04:19 Environmental temperature: Safe
04/04 11:06:08 Environmental temperature: Warning
04/04 11:06:08 Environmental temperature: Safe
04/04 11:06:10 Environmental temperature: Warning
04/04 11:06:10 Environmental temperature: Safe
04/04 11:07:28 Environmental temperature: Warning
04/04 11:07:28 Environmental temperature: Safe
04/04 11:10:58 Environmental temperature: Warning
04/04 11:10:59 Environmental temperature: Safe
04/04 11:11:27 Environmental temperature: Warning
04/04 11:11:27 Environmental temperature: Safe
04/04 11:15:00 Environmental temperature: Warning
04/04 11:15:01 Environmental temperature: Safe
04/04 11:19:33 Oxygen pressure: Warning
04/04 11:19:34 Oxygen pressure: Safe
04/04 11:19:35 Oxygen pressure: Warning
04/04 11:19:36 Oxygen pressure: Safe
04/04 11:19:46 Oxygen pressure: Warning
04/04 11:19:46 Oxygen pressure: Safe
04/04 11:19:52 Oxygen pressure: Warning
04/04 11:19:52 Oxygen pressure: Safe
04/04 11:20:16 Oxygen pressure: Warning
04/04 11:20:16 Oxygen pressure: Safe
04/04 11:20:38 Oxygen pressure: Warning
04/04 11:20:39 Oxygen pressure: Safe
04/04 11:21:35 Environmental temperature: Warning
04/04 11:21:35 Environmental temperature: Safe
04/04 11:21:46 Oxygen pressure: Warning
04/04 11:21:47 Oxygen pressure: Safe
04/04 11:22:08 Oxygen pressure: Warning
04/04 11:22:09 Oxygen pressure: Safe
04/04 11:22:10 Oxygen pressure: Warning
04/04 11:22:10 Oxygen pressure: Safe
04/04 11:22:28 Oxygen pressure: Warning
04/04 11:22:29 Oxygen pressure: Safe
04/04 11:22:30 Oxygen pressure: Warning
04/04 11:22:30 Oxygen pressure: Safe
04/04 11:22:33 Oxygen pressure: Warning
04/04 11:22:34 Oxygen pressure: Safe
04/04 11:22:36 Oxygen pressure: Warning
04/04 11:22:36 Oxygen pressure: Safe
04/04 11:22:42 Oxygen pressure: Warning
04/04 11:22:42 Oxygen pressure: Safe
04/04 11:22:48 Oxygen pressure: Warning
04/04 11:22:49 Oxygen pressure: Safe
04/04 11:22:53 Oxygen pressure: Warning
04/04 11:22:53 Oxygen pressure: Safe
04/04 11:23:14 Oxygen pressure: Warning
04/04 11:23:14 Oxygen pressure: Safe
04/04 11:23:17 Oxygen pressure: Warning
04/04 11:23:17 Oxygen pressure: Safe
04/04 11:23:26 Oxygen pressure: Warning
04/04 11:23:27 Oxygen pressure: Safe
04/04 11:23:30 Environmental temperature: Warning
04/04 11:23:31 Environmental temperature: Safe
04/04 11:23:31 Oxygen pressure: Warning
04/04 11:23:31 Oxygen pressure: Safe
04/04 11:23:32 Environmental temperature: Warning
04/04 11:23:32 Environmental temperature: Safe
04/04 11:23:41 Oxygen pressure: Warning
04/04 11:23:42 Oxygen pressure: Safe
04/04 11:23:53 Oxygen pressure: Warning
04/04 11:23:54 Oxygen pressure: Safe
04/04 11:24:06 Environmental temperature: Warning
04/04 11:24:07 Environmental temperature: Safe
04/04 11:24:35 Oxygen pressure: Warning
04/04 11:24:35 Oxygen pressure: Safe
04/04 11:24:40 Oxygen pressure: Warning
04/04 11:24:40 Oxygen pressure: Safe
04/04 11:25:00 Oxygen pressure: Warning
04/04 11:25:00 Oxygen pressure: Safe
04/04 11:25:04 Oxygen pressure: Warning
04/04 11:25:05 Oxygen pressure: Safe
04/04 11:25:09 Oxygen pressure: Warning
04/04 11:25:10 Oxygen pressure: Safe
04/04 11:25:11 Oxygen pressure: Warning
04/04 11:25:11 Oxygen pressure: Safe
04/04 11:26:11 Oxygen pressure: Warning
04/04 11:26:12 Oxygen pressure: Safe
04/04 11:31:38 Environmental temperature: Warning
04/04 11:31:39 Environmental temperature: Safe
04/04 11:31:54 State changed from Init to Idle.
04/04 11:37:28 Environmental temperature: Warning
04/04 11:37:29 Environmental temperature: Safe
04/04 11:37:43 Environmental temperature: Warning
04/04 11:37:44 Environmental temperature: Safe
04/04 11:38:02 Oxygen pressure: Warning
04/04 11:38:03 Oxygen pressure: Safe
04/04 11:39:59 Oxygen pressure: Warning
04/04 11:40:00 Oxygen pressure: Safe
04/04 11:40:37 Oxygen pressure: Warning
04/04 11:40:38 Oxygen pressure: Safe
04/04 11:40:48 Oxygen pressure: Warning
04/04 11:40:49 Oxygen pressure: Safe
04/04 11:41:34 Oxygen pressure: Warning
04/04 11:41:34 Oxygen pressure: Safe
04/04 11:41:36 Oxygen pressure: Warning
04/04 11:41:37 Oxygen pressure: Safe
04/04 11:42:46 Oxygen pressure: Warning
04/04 11:42:47 Oxygen pressure: Safe
04/04 11:43:17 Oxygen pressure: Warning
04/04 11:43:17 Oxygen pressure: Safe
04/04 11:43:18 Oxygen pressure: Warning
04/04 11:43:18 Oxygen pressure: Safe
04/04 11:43:26 Oxygen pressure: Warning
04/04 11:43:26 Oxygen pressure: Safe
04/04 11:43:45 Oxygen pressure: Warning
04/04 11:43:45 Oxygen pressure: Safe
04/04 11:44:00 Oxygen pressure: Warning
04/04 11:44:00 Oxygen pressure: Safe
04/04 11:44:04 Oxygen pressure: Warning
04/04 11:44:04 Oxygen pressure: Safe
04/04 11:44:10 Oxygen pressure: Warning
04/04 11:44:10 Oxygen pressure: Safe
04/04 11:44:21 Oxygen pressure: Warning
04/04 11:44:21 Oxygen pressure: Safe
04/04 11:44:25 Oxygen pressure: Warning
04/04 11:44:26 Oxygen pressure: Safe
04/04 11:44:30 Oxygen pressure: Warning
04/04 11:44:31 Oxygen pressure: Safe
04/04 11:44:33 Oxygen pressure: Warning
04/04 11:44:33 Oxygen pressure: Safe
04/04 11:45:23 Oxygen pressure: Warning
04/04 11:45:24 Oxygen pressure: Safe
04/04 11:45:47 Oxygen pressure: Warning
04/04 11:45:48 Oxygen pressure: Safe
04/04 11:45:52 Oxygen pressure: Warning
04/04 11:45:53 Oxygen pressure: Safe
04/04 11:45:54 Oxygen pressure: Warning
04/04 11:45:54 Oxygen pressure: Safe
04/04 11:46:26 Oxygen pressure: Warning
04/04 11:46:27 Oxygen pressure: Safe
04/04 11:46:51 Oxygen pressure: Warning
04/04 11:46:51 Oxygen pressure: Safe
04/04 11:49:17 Environmental temperature: Warning
04/04 11:49:18 Environmental temperature: Safe
04/04 11:49:18 Oxygen pressure: Warning
04/04 11:49:19 Oxygen pressure: Safe
04/04 11:50:14 Environmental temperature: Warning
04/04 11:50:15 Environmental temperature: Safe
04/04 11:51:27 Environmental temperature: Warning
04/04 11:51:27 Environmental temperature: Safe
04/04 11:51:47 Environmental temperature: Warning
04/04 11:51:47 Environmental temperature: Safe
04/04 11:51:58 Environmental temperature: Warning
04/04 11:51:59 Environmental temperature: Safe
04/04 11:51:59 Environmental temperature: Warning
04/04 11:51:59 Environmental temperature: Safe
04/04 11:53:52 Environmental temperature: Warning
04/04 11:53:53 Environmental temperature: Safe
04/04 11:54:03 Oxygen pressure: Warning
04/04 11:54:03 Oxygen pressure: Safe
04/04 11:54:25 Environmental temperature: Warning
04/04 11:54:26 Environmental temperature: Safe
04/04 11:57:27 Environmental temperature: Warning
04/04 11:57:29 Environmental temperature: Safe
04/04 11:59:10 Environmental temperature: Warning
04/04 11:59:10 Environmental temperature: Safe
04/04 12:01:35 Environmental temperature: Warning
04/04 12:01:36 Environmental temperature: Safe
04/04 12:01:37 Environmental temperature: Warning
04/04 12:01:37 Environmental temperature: Safe
04/04 12:03:06 Oxygen pressure: Warning
04/04 12:03:07 Oxygen pressure: Safe
04/04 12:03:26 Oxygen pressure: Warning
04/04 12:03:26 Oxygen pressure: Safe
04/04 12:03:28 Oxygen pressure: Warning
04/04 12:03:28 Oxygen pressure: Safe
04/04 12:04:37 Oxygen pressure: Warning
04/04 12:04:37 Oxygen pressure: Safe
04/04 12:04:55 Oxygen pressure: Warning
04/04 12:04:56 Oxygen pressure: Safe
04/04 12:05:00 Oxygen pressure: Warning
04/04 12:05:00 Oxygen pressure: Safe
04/04 12:05:37 Oxygen pressure: Warning
04/04 12:05:38 Oxygen pressure: Safe
04/04 12:06:02 Oxygen pressure: Warning
04/04 12:06:03 Oxygen pressure: Safe
04/04 12:07:11 Oxygen pressure: Warning
04/04 12:07:11 Oxygen pressure: Safe
04/04 12:07:21 Oxygen pressure: Warning
04/04 12:07:21 Oxygen pressure: Safe
04/04 12:07:24 Oxygen pressure: Warning
04/04 12:07:24 Oxygen pressure: Safe
04/04 12:07:25 Oxygen pressure: Warning
04/04 12:07:26 Oxygen pressure: Safe
04/04 12:07:37 Oxygen pressure: Warning
04/04 12:07:37 Oxygen pressure: Safe
04/04 12:08:28 Oxygen pressure: Warning
04/04 12:08:29 Oxygen pressure: Safe
04/04 12:08:35 Oxygen pressure: Warning
04/04 12:08:35 Oxygen pressure: Safe
04/04 12:08:41 Oxygen pressure: Warning
04/04 12:08:42 Oxygen pressure: Safe
04/04 12:08:51 Oxygen pressure: Warning
04/04 12:08:51 Oxygen pressure: Safe
04/04 12:08:56 Oxygen pressure: Warning
04/04 12:08:56 Oxygen pressure: Safe
04/04 12:09:03 Oxygen pressure: Warning
04/04 12:09:04 Oxygen pressure: Safe
04/04 12:09:06 Oxygen pressure: Warning
04/04 12:09:06 Oxygen pressure: Safe
04/04 12:09:34 Oxygen pressure: Warning
04/04 12:09:35 Oxygen pressure: Safe
04/04 12:11:37 Environmental temperature: Warning
04/04 12:11:37 Environmental temperature: Safe
04/04 12:12:12 Oxygen pressure: Warning
04/04 12:12:13 Oxygen pressure: Safe
04/04 12:12:36 Environmental temperature: Warning
04/04 12:12:37 Environmental temperature: Safe
04/04 12:12:37 Environmental temperature: Warning
04/04 12:12:38 Environmental temperature: Safe
04/04 12:12:38 Environmental temperature: Warning
04/04 12:12:39 Environmental temperature: Safe
04/04 12:12:39 Environmental temperature: Warning
04/04 12:12:40 Environmental temperature: Safe
04/04 12:12:57 Environmental temperature: Warning
04/04 12:12:57 Environmental temperature: Safe
04/04 12:13:10 Environmental temperature: Warning
04/04 12:13:10 Environmental temperature: Safe
04/04 12:13:19 Environmental temperature: Warning
04/04 12:13:19 Environmental temperature: Safe
04/04 12:13:22 Environmental temperature: Warning
04/04 12:13:22 Environmental temperature: Safe
04/04 12:13:25 Environmental temperature: Warning
04/04 12:13:25 Environmental temperature: Safe
04/04 12:13:40 Environmental temperature: Warning
04/04 12:13:41 Environmental temperature: Safe
04/04 12:13:41 Environmental temperature: Warning
04/04 12:13:42 Environmental temperature: Safe
04/04 12:14:07 Environmental temperature: Warning
04/04 12:14:07 Environmental temperature: Safe
04/04 12:14:16 Environmental temperature: Warning
04/04 12:14:17 Environmental temperature: Safe
04/04 12:14:17 Environmental temperature: Warning
04/04 12:14:18 Environmental temperature: Safe
