,upstrm [Ambient]
,CO2
04/04/17 13:10:30.30,192
04/04/17 13:10:35.35,210
04/04/17 13:10:40.40,212
04/04/17 13:10:45.45,205
04/04/17 13:10:50.50,213
04/04/17 13:10:55.55,223
04/04/17 13:11:00.00,240
04/04/17 13:11:05.05,249
04/04/17 13:11:10.10,250
04/04/17 13:11:15.15,249
04/04/17 13:11:15.15,249
04/04/17 13:11:20.20,259
04/04/17 13:11:25.25,275
04/04/17 13:11:30.30,282
04/04/17 13:11:35.35,273
04/04/17 13:11:40.40,292
04/04/17 13:11:45.45,299
04/04/17 13:11:50.50,291
04/04/17 13:11:55.55,285
04/04/17 13:12:00.00,287
04/04/17 13:12:05.05,289
04/04/17 13:12:10.10,305
04/04/17 13:12:15.15,301
04/04/17 13:12:20.20,323
04/04/17 13:12:25.25,350
04/04/17 13:12:30.30,346
04/04/17 13:12:35.35,335
04/04/17 13:12:40.40,335
04/04/17 13:12:45.45,342
04/04/17 13:12:50.50,342
04/04/17 13:12:55.55,353
04/04/17 13:13:00.00,366
04/04/17 13:13:05.05,372
04/04/17 13:13:10.10,392
04/04/17 13:13:15.15,388
04/04/17 13:13:20.20,386
04/04/17 13:13:25.25,378
04/04/17 13:13:30.30,382
04/04/17 13:13:35.35,378
04/04/17 13:13:40.40,382
04/04/17 13:13:45.45,376
04/04/17 13:13:50.50,384
04/04/17 13:13:55.55,384
04/04/17 13:14:00.00,407
04/04/17 13:14:05.05,407
04/04/17 13:14:10.10,398
04/04/17 13:14:15.15,409
04/04/17 13:14:20.20,409
04/04/17 13:14:25.25,423
04/04/17 13:14:30.30,435
04/04/17 13:14:35.35,435
04/04/17 13:14:40.40,437
04/04/17 13:14:45.45,435
04/04/17 13:14:50.50,437
04/04/17 13:14:55.55,441
04/04/17 13:15:00.00,454
04/04/17 13:15:05.05,464
04/04/17 13:15:10.10,443
04/04/17 13:15:15.15,443
04/04/17 13:15:20.20,429
04/04/17 13:15:25.25,439
04/04/17 13:15:30.30,433
04/04/17 13:15:30.30,433
04/04/17 13:15:35.35,454
04/04/17 13:15:40.40,454
04/04/17 13:15:45.45,472
04/04/17 13:15:50.50,470
04/04/17 13:15:55.55,456
04/04/17 13:16:00.00,460
04/04/17 13:16:05.05,476
04/04/17 13:16:10.10,470
04/04/17 13:16:15.15,464
04/04/17 13:16:20.20,466
04/04/17 13:16:25.25,458
04/04/17 13:16:30.30,470
04/04/17 13:16:35.35,483
04/04/17 13:16:40.40,485
04/04/17 13:16:45.45,483
04/04/17 13:16:50.50,504
04/04/17 13:16:55.55,483
04/04/17 13:17:00.00,470
04/04/17 13:17:05.05,476
04/04/17 13:17:10.10,476
04/04/17 13:17:15.15,491
04/04/17 13:17:20.20,497
04/04/17 13:17:25.25,493
04/04/17 13:17:30.30,499
04/04/17 13:17:35.35,508
04/04/17 13:17:40.40,513
04/04/17 13:17:45.45,515
04/04/17 13:17:50.50,522
04/04/17 13:17:55.55,517
04/04/17 13:18:00.00,533
04/04/17 13:18:05.05,522
04/04/17 13:18:10.10,522
04/04/17 13:18:15.15,524
04/04/17 13:18:20.20,506
04/04/17 13:18:25.25,517
04/04/17 13:18:30.30,515
04/04/17 13:18:35.35,508
04/04/17 13:18:40.40,515
04/04/17 13:18:45.45,517
04/04/17 13:18:50.50,531
04/04/17 13:18:55.55,519
04/04/17 13:19:00.00,519
04/04/17 13:19:05.05,522
04/04/17 13:19:10.10,522
04/04/17 13:19:15.15,522
04/04/17 13:19:20.20,526
04/04/17 13:19:25.25,515
04/04/17 13:19:30.30,497
04/04/17 13:19:35.35,502
04/04/17 13:19:40.40,515
04/04/17 13:19:45.45,513
04/04/17 13:19:45.45,513
04/04/17 13:19:50.50,528
04/04/17 13:19:55.55,535
04/04/17 13:20:00.00,568
04/04/17 13:20:05.05,555
04/04/17 13:20:10.10,550
04/04/17 13:20:15.15,542
04/04/17 13:20:20.20,544
04/04/17 13:20:25.25,544
04/04/17 13:20:30.30,550
04/04/17 13:20:35.35,533
04/04/17 13:20:40.40,544
04/04/17 13:20:45.45,546
04/04/17 13:20:50.50,548
04/04/17 13:20:55.55,557
04/04/17 13:21:00.00,562
04/04/17 13:21:05.05,555
04/04/17 13:21:10.10,544
04/04/17 13:21:15.15,539
04/04/17 13:21:20.20,548
04/04/17 13:21:25.25,553
04/04/17 13:21:30.30,553
04/04/17 13:21:35.35,555
04/04/17 13:21:40.40,564
04/04/17 13:21:45.45,546
04/04/17 13:21:50.50,537
04/04/17 13:21:55.55,542
04/04/17 13:22:00.00,537
04/04/17 13:22:05.05,533
04/04/17 13:22:10.10,539
04/04/17 13:22:15.15,544
04/04/17 13:22:20.20,552
04/04/17 13:22:25.25,550
04/04/17 13:22:30.30,570
04/04/17 13:22:35.35,572
04/04/17 13:22:40.40,565
04/04/17 13:22:45.45,575
04/04/17 13:22:50.50,577
04/04/17 13:22:55.55,563
04/04/17 13:23:00.00,565
04/04/17 13:23:05.05,575
04/04/17 13:23:10.10,565
04/04/17 13:23:15.15,563
04/04/17 13:23:20.20,565
04/04/17 13:23:25.25,577
04/04/17 13:23:30.30,565
04/04/17 13:23:35.35,565
04/04/17 13:23:40.40,563
04/04/17 13:23:45.45,561
04/04/17 13:23:50.50,565
04/04/17 13:23:55.55,584
04/04/17 13:24:00.00,584
04/04/17 13:24:00.00,584
04/04/17 13:24:05.05,567
04/04/17 13:24:10.10,567
04/04/17 13:24:15.15,577
04/04/17 13:24:20.20,572
04/04/17 13:24:25.25,556
04/04/17 13:24:30.30,563
04/04/17 13:24:35.35,558
04/04/17 13:24:40.40,567
04/04/17 13:24:45.45,577
04/04/17 13:24:50.50,570
04/04/17 13:24:55.55,572
04/04/17 13:25:00.00,570
04/04/17 13:25:05.05,575
04/04/17 13:25:10.10,594
04/04/17 13:25:15.15,575
04/04/17 13:25:20.20,572
04/04/17 13:25:25.25,565
04/04/17 13:25:30.30,575
04/04/17 13:25:35.35,572
04/04/17 13:25:40.40,563
04/04/17 13:25:45.45,572
04/04/17 13:25:50.50,575
04/04/17 13:25:55.55,570
04/04/17 13:26:00.00,575
04/04/17 13:26:05.05,556
04/04/17 13:26:10.10,545
04/04/17 13:26:15.15,549
04/04/17 13:26:20.20,567
04/04/17 13:26:25.25,567
04/04/17 13:26:30.30,563
04/04/17 13:26:35.35,556
04/04/17 13:26:40.40,558
04/04/17 13:26:45.45,567
04/04/17 13:26:50.50,552
04/04/17 13:26:55.55,572
