,upstrm [Ambient],,,dwnstrm [Ambient],Time Elapsed,AI 2: Upstream CO2 (%),AI 10: Downstream CO2 (%)
04/04/17 13:59:05.05,1809,,04/04/17 13:59:21.21,791,13039.52811,0.514638006,0.009864421
04/04/17 13:59:10.10,1787,,04/04/17 13:59:26.26,773,13040.02115,0.51625695,0.015411963
04/04/17 13:59:15.15,1780,,04/04/17 13:59:31.31,788,13040.52142,0.513018103,0.010217072
04/04/17 13:59:20.20,1741,,04/04/17 13:59:36.36,783,13041.02362,0.51424997,0.012724506
04/04/17 13:59:25.25,1741,,04/04/17 13:59:41.41,768,13041.55191,0.513696235,0.008607618
04/04/17 13:59:30.30,1748,,04/04/17 13:59:46.46,773,13042.03112,0.514756131,0.013082619
04/04/17 13:59:35.35,1737,,04/04/17 13:59:51.51,768,13042.52377,0.514414223,0.009504494
04/04/17 13:59:40.40,1726,,04/04/17 13:59:56.56,760,13043.0242,0.513200676,0.012011192
04/04/17 13:59:45.45,1723,,04/04/17 14:00:01.01,758,13043.52224,0.51431654,0.009507191
04/04/17 13:59:50.50,1702,,04/04/17 14:00:06.06,753,13044.03129,0.508944508,0.014694241
04/04/17 13:59:55.55,1691,,04/04/17 14:00:11.11,750,13044.52568,0.510608542,0.008788944
04/04/17 14:00:00.00,1667,,04/04/17 14:00:16.16,748,13045.03103,0.508100789,0.013794454
04/04/17 14:00:05.05,1817,,04/04/17 14:00:21.21,776,13045.53127,0.509196241,0.009504927
04/04/17 14:00:10.10,2057,,04/04/17 14:00:26.26,833,13046.02353,0.507406476,0.013263454
04/04/17 14:00:15.15,2325,,04/04/17 14:00:31.31,931,13046.52973,0.51074208,0.011111398
04/04/17 14:00:20.20,2611,,04/04/17 14:00:36.36,1028,13047.03493,0.508389301,0.013979052
04/04/17 14:00:25.25,2848,,04/04/17 14:00:41.41,1139,13047.53434,0.510586084,0.010219896
04/04/17 14:00:30.30,3109,,04/04/17 14:00:46.46,1234,13048.02649,0.506250274,0.014335588
04/04/17 14:00:35.35,3266,,04/04/17 14:00:51.51,1315,13048.52387,0.51128822,0.0107574
04/04/17 14:00:40.40,3395,,04/04/17 14:00:56.56,1368,13049.03197,0.506033946,0.011647535
04/04/17 14:00:45.45,3440,,04/04/17 14:01:01.01,1443,13049.52216,0.5092346,0.009860739
04/04/17 14:00:50.50,3480,,04/04/17 14:01:06.06,1489,13050.02446,0.507083329,0.014159164
04/04/17 14:00:55.55,3480,,04/04/17 14:01:11.11,1534,13050.52471,0.508842363,0.011473968
04/04/17 14:01:00.00,3515,,04/04/17 14:01:16.16,1575,13051.02576,0.506556593,0.01576959
04/04/17 14:01:05.05,3527,,04/04/17 14:01:21.21,1600,13051.52203,0.509719197,0.012011058
04/04/17 14:01:10.10,3474,,04/04/17 14:01:26.26,1625,13052.02944,0.506907588,0.015409666
04/04/17 14:01:15.15,3521,,04/04/17 14:01:31.31,1663,13052.52882,0.5083577,0.010580375
04/04/17 14:01:20.20,3562,,04/04/17 14:01:36.36,1663,13053.03895,0.507356297,0.014873838
04/04/17 14:01:25.25,3497,,04/04/17 14:01:41.41,1689,13053.53415,0.508844684,0.011116627
04/04/17 14:01:30.30,3562,,04/04/17 14:01:46.46,1719,13054.02618,0.505823637,0.013441946
04/04/17 14:01:35.35,3580,,04/04/17 14:01:51.51,1745,13054.52153,0.508358867,0.010753965
04/04/17 14:01:40.40,3533,,04/04/17 14:01:56.56,1745,13055.03492,0.505151929,0.015945342
04/04/17 14:01:45.45,3550,,04/04/17 14:02:01.01,1784,13055.52326,0.509206747,0.013434276
04/04/17 14:01:50.50,3597,,04/04/17 14:02:06.06,1788,13056.02756,0.506235694,0.017916095
04/04/17 14:01:55.55,3568,,04/04/17 14:02:11.11,1788,13056.52981,0.5097747,0.01415851
04/04/17 14:02:00.00,3586,,04/04/17 14:03:36.36,1847,13057.02505,0.504177482,0.017014347
04/04/17 14:02:05.05,3568,,04/04/17 14:03:41.41,1843,13057.5294,0.509057003,0.015411211
04/04/17 14:02:10.10,3568,,04/04/17 14:03:46.46,1808,13058.02753,0.504636013,0.019160328
04/04/17 14:02:15.15,3550,,04/04/17 14:03:51.51,1800,13058.52255,0.506556593,0.015946974
04/04/17 14:03:40.40,3528,,04/04/17 14:03:56.56,1828,13059.02501,0.503422674,0.018624929
04/04/17 14:03:45.45,3545,,04/04/17 14:04:01.01,1839,13059.52303,0.502750163,0.014513111
04/04/17 14:03:50.50,3516,,04/04/17 14:04:06.06,1839,13060.03409,0.501377745,0.018983165
04/04/17 14:03:55.55,3481,,04/04/17 14:04:11.11,1847,13060.52341,0.505644364,0.017197199
04/04/17 14:04:00.00,3469,,04/04/17 14:04:16.16,1855,13061.02782,0.502369906,0.019339348
04/04/17 14:04:05.05,3504,,04/04/17 14:04:21.21,1882,13061.53708,0.504476026,0.017019871
04/04/17 14:04:10.10,3481,,04/04/17 14:04:26.26,1851,13062.02745,0.502066262,0.021137117
04/04/17 14:04:15.15,3446,,04/04/17 14:04:31.31,1824,13062.52306,0.504550827,0.016834577
04/04/17 14:04:20.20,3498,,04/04/17 14:04:36.36,1831,13063.02633,0.49966989,0.020600871
04/04/17 14:04:25.25,3510,,04/04/17 14:04:41.41,1828,13063.52869,0.504123808,0.017017659
04/04/17 14:04:30.30,3487,,04/04/17 14:04:46.46,1828,13064.03193,0.500815431,0.022387534
04/04/17 14:04:35.35,3493,,04/04/17 14:04:51.51,1859,13064.52303,0.502660381,0.018086314
04/04/17 14:04:40.40,3463,,04/04/17 14:04:56.56,1866,13065.02337,0.500108563,0.022566332
04/04/17 14:04:45.45,3493,,04/04/17 14:05:01.01,1862,13065.52339,0.5008559,0.018269173
04/04/17 14:04:50.50,3463,,04/04/17 14:05:06.06,1847,13066.02643,0.502174231,0.02095886
04/04/17 14:04:55.55,3487,,04/04/17 14:05:11.11,1862,13066.53178,0.502698641,0.017740275
04/04/17 14:05:00.00,3516,,04/04/17 14:05:16.16,1847,13067.03092,0.49919363,0.019169304
04/04/17 14:05:05.05,3522,,04/04/17 14:05:21.21,1843,13067.52618,0.50146238,0.017015402
04/04/17 14:05:10.10,3493,,04/04/17 14:05:26.26,1831,13068.02234,0.499540477,0.018268679
04/04/17 14:05:15.15,3452,,04/04/17 14:05:31.31,1839,13068.5236,0.503555416,0.017370413
04/04/17 14:05:20.20,3487,,04/04/17 14:05:36.36,1855,13069.02779,0.497842185,0.01701867
04/04/17 14:05:25.25,3475,,04/04/17 14:05:41.41,1847,13069.52328,0.503906503,0.021841325
04/04/17 14:05:30.30,3487,,04/04/17 14:05:46.46,1855,13070.0214,0.502345875,0.022020761
04/04/17 14:05:35.35,3563,,04/04/17 14:05:51.51,1859,13070.52562,0.503935523,0.02112694
04/04/17 14:05:40.40,3522,,04/04/17 14:05:56.56,1886,13071.0299,0.502213025,0.021304635
04/04/17 14:05:45.45,3545,,04/04/17 14:06:01.01,1906,13071.52805,0.505736948,0.021307461
04/04/17 14:05:50.50,3545,,04/04/17 14:06:06.06,1906,13072.03025,0.502966628,0.017732026
04/04/17 14:05:55.55,3534,,04/04/17 14:06:11.11,1918,13072.52352,0.505372482,0.018628703
04/04/17 14:06:00.00,3563,,04/04/17 14:06:16.16,1890,13073.0228,0.504314301,0.017553677
04/04/17 14:06:05.05,3569,,04/04/17 14:06:21.21,1890,13073.52683,0.505896945,0.018096687
04/04/17 14:06:10.10,3557,,04/04/17 14:06:26.26,1910,13074.02824,0.506732334,0.019170076
04/04/17 14:06:15.15,3575,,04/04/17 14:06:26.26,1910,13074.52462,0.510755397,0.021662198
04/04/17 14:06:20.20,3510,,04/04/17 14:06:31.31,1918,13075.02466,0.506908289,0.01826804
04/04/17 14:06:25.25,3528,,04/04/17 14:06:36.36,1918,13075.52977,0.511966002,0.022391772
04/04/17 14:06:30.30,3587,,04/04/17 14:06:41.41,1894,13076.029,0.50932833,0.017917596
04/04/17 14:06:30.30,3587,,04/04/17 14:06:46.46,1882,13076.5242,0.51294843,0.021495157
04/04/17 14:06:35.35,3563,,04/04/17 14:06:51.51,1874,13077.03023,0.512421118,0.019884406
04/04/17 14:06:40.40,3598,,04/04/17 14:06:56.56,1906,13077.52468,0.514955044,0.021661784
04/04/17 14:06:45.45,3557,,04/04/17 14:07:01.01,1926,13078.03293,0.513892427,0.018269523
04/04/17 14:06:50.50,3575,,04/04/17 14:07:06.06,1890,13078.52322,0.516339132,0.023453997
04/04/17 14:06:55.55,3575,,04/04/17 14:07:11.11,1886,13079.0224,0.518219282,0.02023259
04/04/17 14:07:00.00,3592,,04/04/17 14:07:16.16,1902,13079.52984,0.515821393,0.023638678
04/04/17 14:07:05.05,3545,,04/04/17 14:07:21.21,1922,13080.03128,0.518083549,0.023093084
04/04/17 14:07:10.10,3581,,04/04/17 14:07:26.26,1926,13080.52165,0.516654067,0.024532828
04/04/17 14:07:15.15,3551,,04/04/17 14:07:31.31,1902,13081.02395,0.517019481,0.022206448
04/04/17 14:07:20.20,3557,,04/04/17 14:07:36.36,1918,13081.52733,0.521974202,0.028638725
04/04/17 14:07:25.25,3551,,04/04/17 14:07:41.41,1914,13082.03363,0.522480089,0.024000198
04/04/17 14:07:30.30,3581,,04/04/17 14:07:46.46,1887,13082.52283,0.519726574,0.027936098
04/04/17 14:07:35.35,3563,,04/04/17 14:07:51.51,1915,13083.0282,0.521443852,0.02185326
04/04/17 14:07:40.40,3551,,04/04/17 14:07:56.56,1899,13083.5236,0.520813908,0.027925135
04/04/17 14:07:45.45,3598,,04/04/17 14:08:01.01,1911,13084.02667,0.52247159,0.025419033
04/04/17 14:07:50.50,3557,,04/04/17 14:08:06.06,1879,13084.52279,0.520554773,0.029361193
04/04/17 14:07:55.55,3534,,04/04/17 14:08:11.11,1895,13085.02782,0.52405907,0.028819456
04/04/17 14:08:00.00,3528,,04/04/17 14:08:16.16,1871,13085.52206,0.520731002,0.03133112
04/04/17 14:08:05.05,3540,,04/04/17 14:08:21.21,1863,13086.0294,0.522975823,0.027219781
04/04/17 14:08:10.10,3534,,04/04/17 14:08:26.26,1867,13086.52185,0.521160753,0.031859654
04/04/17 14:08:15.15,3522,,04/04/17 14:08:31.31,1887,13087.03798,0.522283103,0.02811245
04/04/17 14:08:20.20,3534,,04/04/17 14:08:36.36,1883,13087.52724,0.521288282,0.030970897
04/04/17 14:08:25.25,3510,,04/04/17 14:08:41.41,1863,13088.02347,0.523807755,0.028463575
04/04/17 14:08:30.30,3534,,04/04/17 14:08:46.46,1895,13088.52583,0.520169757,0.033307459
04/04/17 14:08:35.35,3481,,04/04/17 14:08:51.51,1871,13089.02496,0.528495514,0.029712625
04/04/17 14:08:40.40,3493,,04/04/17 14:08:56.56,1867,13089.52228,0.523018169,0.033301419
04/04/17 14:08:45.45,3504,,04/04/17 14:09:01.01,1867,13090.02331,0.525394175,0.029181357
04/04/17 14:08:50.50,3469,,04/04/17 14:09:06.06,1883,13090.52173,0.519256253,0.031155439
04/04/17 14:08:55.55,3463,,04/04/17 14:09:11.11,1863,13091.02326,0.524349846,0.027567559
04/04/17 14:09:00.00,3463,,04/04/17 14:09:16.16,1829,13091.52358,0.520786287,0.031501751
04/04/17 14:09:05.05,3424,,04/04/17 14:09:21.21,1805,13092.02467,0.525131565,0.029186557
04/04/17 14:09:10.10,3424,,04/04/17 14:09:26.26,1786,13092.52273,0.521111982,0.031319937
04/04/17 14:09:15.15,3367,,04/04/17 14:09:31.31,1774,13093.03707,0.52324353,0.027758505
04/04/17 14:09:20.20,3333,,04/04/17 14:09:36.36,1801,13093.52937,0.518624482,0.028817651
04/04/17 14:09:25.25,3322,,04/04/17 14:09:41.41,1805,13094.02475,0.524904635,0.026491676
04/04/17 14:09:30.30,3316,,04/04/17 14:09:46.46,1782,13094.52701,0.520763635,0.031141362
04/04/17 14:09:35.35,3339,,04/04/17 14:09:51.51,1782,13095.02805,0.524693009,0.025599807
04/04/17 14:09:40.40,3345,,04/04/17 14:09:56.56,1786,13095.52756,0.521202018,0.028114492
04/04/17 14:09:45.45,3266,,04/04/17 14:10:01.01,1763,13096.0247,0.523874814,0.023636509
04/04/17 14:09:50.50,3277,,04/04/17 14:10:06.06,1755,13096.53374,0.521287845,0.027220589
04/04/17 14:09:55.55,3283,,04/04/17 14:10:11.11,1763,13097.03178,0.525140974,0.024528832
04/04/17 14:10:00.00,3305,,04/04/17 14:10:16.16,1767,13097.52686,0.521942497,0.026497761
04/04/17 14:10:05.05,3288,,04/04/17 14:10:21.21,1774,13098.03218,0.52320914,0.020055583
04/04/17 14:10:10.10,3294,,04/04/17 14:10:26.26,1786,13098.52543,0.524355552,0.025251796
04/04/17 14:10:15.15,3333,,04/04/17 14:10:31.31,1770,13099.03373,0.525263858,0.021137285
04/04/17 14:10:20.20,3379,,04/04/17 14:10:36.36,1774,13099.52113,0.520379961,0.025788158
04/04/17 14:10:25.25,3339,,04/04/17 14:10:41.41,1778,13100.03136,0.524591988,0.018089107
04/04/17 14:10:30.30,3339,,04/04/17 14:10:41.41,1778,13100.52178,0.523934673,0.022925722
04/04/17 14:10:35.35,3367,,04/04/17 14:10:46.46,1798,13101.03381,0.527465672,0.020778796
04/04/17 14:10:40.40,3424,,04/04/17 14:10:51.51,1767,13101.53409,0.525429226,0.023095902
04/04/17 14:10:45.45,3452,,04/04/17 14:10:56.56,1774,13102.03235,0.526429226,0.017200046
04/04/17 14:10:45.45,3452,,04/04/17 14:11:01.01,1809,13102.52281,0.525869136,0.022562358
04/04/17 14:10:50.50,3441,,04/04/17 14:11:06.06,1821,13103.02895,0.525464646,0.01701904
04/04/17 14:10:55.55,3452,,04/04/17 14:11:11.11,1813,13103.53032,0.525011044,0.023459846
04/04/17 14:11:00.00,3435,,04/04/17 14:11:16.16,1832,13104.03449,0.527107699,0.0168338
04/04/17 14:11:05.05,3469,,04/04/17 14:11:21.21,1844,13104.52375,0.526885947,0.02202464
04/04/17 14:11:10.10,3446,,04/04/17 14:11:26.26,1836,13105.03315,0.526236361,0.018633791
04/04/17 14:11:15.15,3452,,04/04/17 14:11:31.31,1863,13105.52534,0.526321562,0.022735405
04/04/17 14:11:20.20,3493,,04/04/17 14:11:36.36,1895,13106.02963,0.52702379,0.01916598
04/04/17 14:11:25.25,3528,,04/04/17 14:11:41.41,1860,13106.5318,0.525748674,0.022914366
04/04/17 14:11:30.30,3528,,04/04/17 14:11:46.46,1836,13107.03495,0.529686444,0.020595627
04/04/17 14:11:35.35,3522,,04/04/17 14:11:51.51,1821,13107.52516,0.524764915,0.022564249
04/04/17 14:11:40.40,3487,,04/04/17 14:11:56.56,1809,13108.02362,0.526311277,0.017735196
04/04/17 14:11:45.45,3498,,04/04/17 14:12:01.01,1829,13108.52291,0.525799136,0.02363612
04/04/17 14:11:50.50,3469,,04/04/17 14:12:06.06,1840,13109.03219,0.52581285,0.018626688
04/04/17 14:11:55.55,3475,,04/04/17 14:12:11.11,1844,13109.52323,0.525432085,0.024883496
04/04/17 14:12:00.00,3469,,04/04/17 14:12:16.16,1911,13110.02274,0.526357725,0.019531034
04/04/17 14:12:05.05,3534,,04/04/17 14:12:21.21,1972,13110.52409,0.52706933,0.025789977
04/04/17 14:12:10.10,3498,,04/04/17 14:12:26.26,2037,13111.03814,0.528704863,0.022562358
04/04/17 14:12:15.15,3551,,04/04/17 14:12:31.31,2095,13111.53242,0.525480748,0.025788924
04/04/17 14:12:20.20,3534,,04/04/17 14:12:36.36,2140,13112.02463,0.528729568,0.022204529
04/04/17 14:12:25.25,3487,,04/04/17 14:12:41.41,2158,13112.52795,0.524012863,0.025428512
04/04/17 14:12:30.30,3475,,04/04/17 14:12:46.46,2205,13113.03421,0.529615023,0.022562921
04/04/17 14:12:35.35,3441,,04/04/17 14:12:51.51,2270,13113.52453,0.528506421,0.025778106
04/04/17 14:12:40.40,3446,,04/04/17 14:12:56.56,2261,13114.02464,0.526789791,0.022030598
04/04/17 14:12:45.45,3435,,04/04/17 14:13:01.01,2274,13114.52496,0.531113713,0.025778325
04/04/17 14:12:50.50,3435,,04/04/17 14:13:06.06,2248,13115.02334,0.529052538,0.027934439
04/04/17 14:12:55.55,3429,,04/04/17 14:13:11.11,2252,13115.52642,0.527464555,0.027578616
04/04/17 14:13:00.00,3384,,04/04/17 14:13:16.16,2292,13116.02978,0.525900392,0.024177633
04/04/17 14:13:05.05,3395,,04/04/17 14:13:21.21,2301,13116.52589,0.529983221,0.024891429
04/04/17 14:13:10.10,3429,,04/04/17 14:13:26.26,2287,13117.03208,0.529981445,0.024888077
04/04/17 14:13:15.15,3401,,04/04/17 14:13:31.31,2274,13117.52738,0.533466925,0.025252813
04/04/17 14:13:20.20,3424,,04/04/17 14:13:36.36,2278,13118.02548,0.530380716,0.024168479
04/04/17 14:13:25.25,3452,,04/04/17 14:13:41.41,2274,13118.52288,0.534470743,0.027040854
04/04/17 14:13:30.30,3441,,04/04/17 14:13:46.46,2283,13119.02909,0.532124002,0.029007732
04/04/17 14:13:35.35,3463,,04/04/17 14:13:51.51,2278,13119.52328,0.534597946,0.03006952
04/04/17 14:13:40.40,3487,,04/04/17 14:13:56.56,2270,13120.03248,0.529093939,0.027046919
04/04/17 14:13:45.45,3469,,04/04/17 14:14:01.01,2296,13120.52285,0.53491806,0.029173617
04/04/17 14:13:50.50,3487,,04/04/17 14:14:06.06,2310,13121.02433,0.532283963,0.030795828
04/04/17 14:13:55.55,3463,,04/04/17 14:14:11.11,2332,13121.52561,0.537350749,0.028112434
04/04/17 14:14:00.00,3493,,04/04/17 14:14:16.16,2310,13122.02318,0.531540207,0.026860616
04/04/17 14:14:05.05,3469,,04/04/17 14:14:21.21,2310,13122.52641,0.534000444,0.02845734
04/04/17 14:14:10.10,3469,,04/04/17 14:14:26.26,2305,13123.0317,0.534732393,0.032589812
04/04/17 14:14:15.15,3418,,04/04/17 14:14:31.31,2292,13123.52804,0.536651483,0.029721294
04/04/17 14:14:20.20,3373,,04/04/17 14:14:36.36,2252,13124.02512,0.533387056,0.030965607
04/04/17 14:14:25.25,3311,,04/04/17 14:14:41.41,2222,13124.52743,0.538007917,0.033650149
04/04/17 14:14:30.30,3266,,04/04/17 14:14:46.46,2218,13125.02983,0.53384438,0.032587427
04/04/17 14:14:35.35,3212,,04/04/17 14:14:51.51,2136,13125.52718,0.539089969,0.031510042
04/04/17 14:14:40.40,3126,,04/04/17 14:14:56.56,2115,13126.02263,0.533159032,0.032050478
04/04/17 14:14:45.45,3016,,04/04/17 14:14:56.56,2115,13126.52888,0.538081368,0.032392123
04/04/17 14:14:50.50,2929,,04/04/17 14:15:01.01,2095,13127.03196,0.536108421,0.034904416
04/04/17 14:14:55.55,2914,,04/04/17 14:15:06.06,2054,13127.52536,0.538546373,0.032401917
04/04/17 14:15:00.00,2919,,04/04/17 14:15:11.11,2037,13128.03661,0.533008134,0.033475168
04/04/17 14:15:00.00,2919,,04/04/17 14:15:16.16,2041,13128.52475,0.54003227,0.034721003
04/04/17 14:15:05.05,2879,,04/04/17 14:15:21.21,2004,13129.03279,0.535890174,0.038831986
04/04/17 14:15:10.10,2829,,04/04/17 14:15:26.26,1988,13129.52205,0.541901403,0.036173778
04/04/17 14:15:15.15,2819,,04/04/17 14:15:31.31,2000,13130.03332,0.53401774,0.037414269
04/04/17 14:15:20.20,2844,,04/04/17 14:15:36.36,1972,13130.52769,0.540216344,0.037400024
04/04/17 14:15:25.25,2814,,04/04/17 14:15:41.41,1976,13131.02721,0.53763054,0.039912397
04/04/17 14:15:30.30,2884,,04/04/17 14:15:46.46,1935,13131.52738,0.540309653,0.036514819
04/04/17 14:15:35.35,2854,,04/04/17 14:15:51.51,1935,13132.03641,0.538679159,0.042064165
04/04/17 14:15:40.40,2829,,04/04/17 14:15:56.56,1915,13132.52178,0.539552431,0.03722008
04/04/17 14:15:45.45,2854,,04/04/17 14:16:01.01,1935,13133.02841,0.537713193,0.042951917
04/04/17 14:15:50.50,2844,,04/04/17 14:16:06.06,1935,13133.52679,0.54072145,0.039740624
04/04/17 14:15:55.55,2854,,04/04/17 14:16:11.11,1940,13134.02902,0.536406706,0.040995615
04/04/17 14:16:00.00,2809,,04/04/17 14:16:16.16,1952,13134.52528,0.54006143,0.039362023
04/04/17 14:16:05.05,2814,,04/04/17 14:16:21.21,1956,13135.03731,0.538898115,0.042771524
04/04/17 14:16:10.10,2859,,04/04/17 14:16:26.26,1972,13135.52236,0.53877504,0.041150846
04/04/17 14:16:15.15,2854,,04/04/17 14:16:31.31,1955,13136.02984,0.536855762,0.042606374
04/04/17 14:16:20.20,2854,,04/04/17 14:16:36.36,1971,13136.53114,0.539598155,0.04152925
04/04/17 14:16:25.25,2884,,04/04/17 14:16:41.41,1979,13137.02928,0.534688115,0.044040977
04/04/17 14:16:30.30,2864,,04/04/17 14:16:46.46,1951,13137.52454,0.541852269,0.041872113
04/04/17 14:16:35.35,2884,,04/04/17 14:16:51.51,1951,13138.03678,0.538036355,0.046167851
04/04/17 14:16:40.40,2859,,04/04/17 14:16:56.56,1963,13138.52705,0.540161481,0.044199257
04/04/17 14:16:45.45,2869,,04/04/17 14:17:01.01,1971,13139.02543,0.536745211,0.04761749
04/04/17 14:16:50.50,2854,,04/04/17 14:17:06.06,1963,13139.52368,0.540467489,0.045994215
04/04/17 14:16:55.55,2854,,04/04/17 14:17:11.11,1971,13140.02273,0.536111338,0.048310082
04/04/17 14:17:00.00,2824,,04/04/17 14:17:16.16,1987,13140.53412,0.538712519,0.045838887
04/04/17 14:17:05.05,2869,,04/04/17 14:17:21.21,1951,13141.03115,0.535855543,0.049408781
04/04/17 14:17:10.10,2894,,04/04/17 14:17:26.26,1943,13141.53925,0.53926066,0.046544789
04/04/17 14:17:15.15,2884,,04/04/17 14:17:31.31,1963,13142.03157,0.53600097,0.051555724
04/04/17 14:17:20.20,2894,,04/04/17 14:17:36.36,1975,13142.5228,0.53868783,0.048852383
04/04/17 14:17:25.25,2904,,04/04/17 14:17:41.41,1983,13143.03315,0.53638409,0.053163079
04/04/17 14:17:30.30,2929,,04/04/17 14:17:46.46,2011,13143.52453,0.53891151,0.050482494
04/04/17 14:17:35.35,2914,,04/04/17 14:17:51.51,2007,13144.02576,0.53475276,0.054221982
04/04/17 14:17:40.40,2909,,04/04/17 14:17:56.56,2003,13144.522,0.537131077,0.04956142
04/04/17 14:17:45.45,2944,,04/04/17 14:18:01.01,2015,13145.02907,0.535080444,0.056723915
04/04/17 14:17:50.50,2939,,04/04/17 14:18:06.06,2015,13145.52132,0.535968639,0.051566302
04/04/17 14:17:55.55,2934,,04/04/17 14:18:11.11,1991,13146.02355,0.533403869,0.058332456
04/04/17 14:18:00.00,2889,,04/04/17 14:18:16.16,2011,13146.52599,0.537685155,0.05618138
04/04/17 14:18:05.05,2844,,04/04/17 14:18:21.21,2036,13147.02808,0.535490437,0.059427197
04/04/17 14:18:10.10,2924,,04/04/17 14:18:26.26,2036,13147.52343,0.536297743,0.055288632
04/04/17 14:18:15.15,2929,,04/04/17 14:18:31.31,2048,13148.02989,0.532711175,0.058506915
04/04/17 14:18:20.20,2903,,04/04/17 14:18:36.36,2073,13148.52192,0.539576166,0.056895689
04/04/17 14:18:25.25,2928,,04/04/17 14:18:41.41,2036,13149.027,0.533449125,0.06085827
04/04/17 14:18:30.30,2938,,04/04/17 14:18:46.46,2007,13149.52142,0.536983232,0.059582103
04/04/17 14:18:35.35,2928,,04/04/17 14:18:51.51,2028,13150.02582,0.53419069,0.060832615
04/04/17 14:18:40.40,2913,,04/04/17 14:18:56.56,1991,13150.52228,0.533490868,0.059239751
04/04/17 14:18:45.45,2918,,04/04/17 14:19:01.01,2048,13151.03445,0.533649263,0.06332267
04/04/17 14:18:50.50,2938,,04/04/17 14:19:06.06,2061,13151.52892,0.534513312,0.061575809
04/04/17 14:18:55.55,2943,,04/04/17 14:19:11.11,2048,13152.02403,0.532078382,0.064246279
04/04/17 14:19:00.00,2943,,04/04/17 14:19:11.11,2048,13152.52335,0.532553092,0.060664572
04/04/17 14:19:05.05,2923,,04/04/17 14:19:16.16,2011,13153.02955,0.536095901,0.065134398
04/04/17 14:19:10.10,2933,,04/04/17 14:19:21.21,2007,13153.5288,0.537349428,0.062818182
04/04/17 14:19:15.15,2938,,04/04/17 14:19:26.26,1979,13154.02796,0.537541048,0.067816989
04/04/17 14:19:15.15,2938,,04/04/17 14:19:31.31,1987,13154.52129,0.536526928,0.065686152
04/04/17 14:19:20.20,2923,,04/04/17 14:19:36.36,1959,13155.02268,0.536408166,0.0680183
04/04/17 14:19:25.25,2948,,04/04/17 14:19:41.41,1959,13155.525,0.532992946,0.063871714
04/04/17 14:19:30.30,2943,,04/04/17 14:19:46.46,1963,13156.02243,0.534814616,0.067631907
04/04/17 14:19:35.35,2918,,04/04/17 14:19:51.51,1951,13156.52893,0.533650715,0.065479752
04/04/17 14:19:40.40,2958,,04/04/17 14:19:56.56,1951,13157.02229,0.539099908,0.070160058
04/04/17 14:19:45.45,2958,,04/04/17 14:20:01.01,1955,13157.52198,0.538734366,0.066568318
04/04/17 14:19:50.50,2943,,04/04/17 14:20:06.06,1971,13158.02424,0.538353625,0.071036618
04/04/17 14:19:55.55,2938,,04/04/17 14:20:11.11,1995,13158.68828,0.537719785,0.072310836
04/04/17 14:20:00.00,2943,,04/04/17 14:20:16.16,2003,13159.22732,0.542652853,0.06816534
04/04/17 14:20:05.05,2958,,04/04/17 14:20:21.21,2031,13159.71634,0.53643615,0.072488766
04/04/17 14:20:10.10,2974,,04/04/17 14:20:26.26,2027,13160.21237,0.53981373,0.066921544
04/04/17 14:20:15.15,2913,,04/04/17 14:20:31.31,1958,13160.71364,0.536403666,0.07266184
04/04/17 14:20:20.20,2990,,04/04/17 14:20:36.36,1978,13161.22005,0.540803115,0.070842178
04/04/17 14:20:25.25,2984,,04/04/17 14:20:41.41,2019,13161.71008,0.537757941,0.074800867
04/04/17 14:20:30.30,2984,,04/04/17 14:20:46.46,2039,13162.21149,0.539410113,0.068718301
04/04/17 14:20:35.35,2990,,04/04/17 14:20:51.51,2052,13162.71184,0.536637403,0.072823408
04/04/17 14:20:40.40,2979,,04/04/17 14:20:56.56,2056,13163.211,0.540941177,0.071234153
04/04/17 14:20:45.45,2964,,04/04/17 14:21:01.01,2056,13163.71113,0.539579102,0.075680006
04/04/17 14:20:50.50,2990,,04/04/17 14:21:06.06,2056,13164.21225,0.540002635,0.071935842
04/04/17 14:20:55.55,3000,,04/04/17 14:21:11.11,2035,13164.71157,0.538723251,0.074783888
04/04/17 14:21:00.00,3036,,04/04/17 14:21:16.16,2064,13165.21687,0.542812949,0.071220896
04/04/17 14:21:05.05,3036,,04/04/17 14:21:21.21,2072,13165.71317,0.539161025,0.074965962
04/04/17 14:21:10.10,3015,,04/04/17 14:21:26.26,2056,13166.22153,0.539378202,0.069271438
04/04/17 14:21:15.15,2990,,04/04/17 14:21:31.31,2039,13166.71391,0.539638316,0.073707793
04/04/17 14:21:20.20,2979,,04/04/17 14:21:36.36,2031,13167.21124,0.542741754,0.073907805
04/04/17 14:21:25.25,2995,,04/04/17 14:21:41.41,1982,13167.71827,0.540632668,0.075701528
04/04/17 14:21:30.30,3015,,04/04/17 14:21:46.46,2047,13168.21052,0.539142089,0.069629311
04/04/17 14:21:35.35,3005,,04/04/17 14:21:51.51,2023,13168.70917,0.538795359,0.075175959
04/04/17 14:21:40.40,3000,,04/04/17 14:21:56.56,2027,13169.2122,0.542773447,0.07121319
04/04/17 14:21:45.45,2979,,04/04/17 14:22:01.01,2031,13169.71877,0.539982196,0.076574502
04/04/17 14:21:50.50,3031,,04/04/17 14:22:06.06,2031,13170.2128,0.541022895,0.068899566
04/04/17 14:21:55.55,3026,,04/04/17 14:22:11.11,2039,13170.71006,0.539232318,0.073174006
