Shortcut;Name;Phase;Molar Mass;Nutritional Energy;Melting Point;Boiling Point;Density;Heat Capacity;Linear Expansion Coefficient;Modulus of Elasticity;Thermal Conductivity; Charge;;
sSubstance;sName;ttxPhases;fMolarMass;fNutritionalEnergy;fMeltPoint;fBoilPoint;fDensity;fCp;fExpCoeff;fModElast;fThermalConductivity;iCharge; number of properties is not limited. as long as the name is in the first row and the variablename in the second!;
-;-;-;kg/mol;J/kg;K;K;kg/m3;J/(kg*K);-;-;W/(m*K);-;;
I;Iodine;solid;0.12690447;0;386.65;457.15;4940;145;83;;;0;;
Xe;Xenon;gas;0.131293;0;161.15;166.05;4.49;158;;;;0;;
Cs;Caesium;solid;0.13290545;0;301.55;942.15;1900;240;97;0.2;;0;;
Ba;Barium;solid;0.137327;0;998.15;1913.15;3650;;;1.03;;0;;
La;Lanthanium;solid;0.1389055;0;1193.15;3730.15;6160;;;2.43;;0;;
Ce;Cerium;solid;0.141116;0;1071.15;3699.15;6770;;;2.39;;0;;
Pr;Praseodymium;solid;0.14090765;0;1204.15;3785.15;6480;;;3.06;;0;;
Nd;Neodymium;solid;0.14424;0;1283.15;273.15;7000;;;3.27;;0;;
Pm;Promethium;solid;0.1469151;0;1353.15;273.15;7220;;;3.5;;0;;
Sm;Samarium;solid;0.15036;0;1345.15;273.15;7540;;;2.94;;0;;
Eu;Europium;solid;0.151964;0;1095.15;273.15;5250;;;1.42;;0;;
Gd;Gadolinium;solid;0.15725;0;1584.15;273.15;7890;;;3.83;;0;;
Tb;Terbium;solid;0.15892534;0;1633.15;273.15;8250;;;3.99;;0;;
Dy;Dysprosium;solid;0.1625;0;1682.15;273.15;8560;;;3.84;;0;;
Ho;Holmium;solid;0.16493032;0;1743.15;273.15;8780;;3.97;;;0;;
Er;Erbium;solid;0.167259;0;1795.15;273.15;9050;;;4.11;;0;;
Tm;Thulium;solid;0.16893421;0;1818.15;273.15;9320;;;3.97;;0;;
Yb;Ytterbium;solid;0.17304;0;1097.15;273.15;6970;;;1.33;;0;;
Lu;Lutetium;solid;0.174967;0;1929.15;273.15;9840;;;4.11;;0;;
Hf;Hafnium;solid;0.17849;0;2500.15;4875.15;13310;;;10.9;;0;;
Ta;Tantalum;solid;0.1809479;0;3269.15;5698.15;16680;;6.5;20;;0;;
W;Tungsten;solid;0.18384;0;3683.15;5933.15;19260;;4.3;32.32;;0;;
Re;Rhenium;solid;0.186207;0;3453.15;5900.15;21030;;;37.2;;0;;
Os;Osmium;solid;0.19023;0;3318.15;5573.15;22590;;6.6;41.8;;0;;
Ir;Iridium;solid;0.192217;0;2683.15;4403.15;22560;;6.6;35.5;;0;;
Pt;Platinum;solid;0.195078;0;2045.15;4100.15;21450;130;9;27.83;;0;;
Au;Gold;solid;0.19696654;0;1337.55;3353.15;19320;128;14.3;17.32;;0;;
Hg;Mercury;solid;0.20059;0;234.15;629.75;13550;;;3.82;;0;;
Tl;Thallium;solid;0.2043833;0;576.65;1730.15;11850;;29;3.53;;0;;
Pb;Lead;solid;0.2072;0;600.65;2013.15;11340;129;29.4;4.3;;0;;
Bi;Bismuth;solid;0.20898038;0;544.45;1833.15;9800;;13.5;3.15;;0;;
Po;Polonium;solid;0.2089824;0;527.15;1235.15;9200;;;2.6;;0;;
At;Astatine;solid;0.2099871;0;575.15;610.15;;;;;;0;;
Rn;Radon;gas;0.2220176;0;202.15;211.35;9.23;94;;;;0;;
Fr;Francium;solid;0.2230197;0;300.15;950.15;;;;0.2;;0;;
Ra;Radium;solid;0.2260254;0;973.15;1413.15;5500;;;1.32;;0;;
Ac;Actinium;solid;0.2270278;0;1323.15;3473.15;10070;;;2.5;;0;;
Th;Thorium;solid;0.2320381;0;2023.15;5063.15;11720;;11;5.43;;0;;
Pa;Protactinium;solid;0.23103588;0;1827.15;273.15;15370;;;7.6;;0;;
U;Uranium;solid;0.23802891;0;1405.45;4091.15;18970;;;9.87;;0;;
Np;Neptunium;solid;0.2370482;0;913.15;273.15;20480;;;6.8;;0;;
Pu;Plutonium;solid;0.2440642;0;914.15;273.15;19740;;;5.4;;0;;
Am;Americium;solid;0.2430614;0;1267.15;273.15;13670;;;;;0;;
Cm;Curium;solid;0.2470703;0;1613.15;273.15;13510;;;;;0;;
Bk;Berkelium;solid;0.2470703;0;1259.15;273.15;13250;;;;;0;;
Cf;Californium;solid;0.2510796;0;1173.15;273.15;15100;;;;;0;;
Es;Einsteinium;solid;0.2520829;0;;;;;;;;0;;
Fm;Fermium;solid;0.2570951;0;;;;;;;;0;;
Mv;Mendelevium;solid;0.2580986;0;;;;;;;;0;;
No;Nobelium;solid;0.2591009;0;;;;;;;;0;;
Lr;Lawrentium;solid;0.26211;0;;;;;;;;0;;
Rf;Rutherfordium;solid;0.2611089;0;;;;;;;;0;;
Db;Dupnium;solid;0.2621144;0;;;;;;;;0;;
Sg;Seaborgium;solid;0.2631186;0;;;;;;;;0;;
Bh;Bohrium;solid;0.2621231;0;;;;;;;;0;;
Hs;Hassium;solid;0.2651306;0;;;;;;;;0;;
Mt;Meitnerium;solid;0.2661378;0;;;;;;;;0;;
NaCl;Sodiumchloride;solid;0.05844277;0;1074.15;1738.15;2165;1860;;;;0;;
C2H6;Ethane;gas;;0;90.15;184.15;1.264;;;;;0;;
Brine;Brine;solid;0.06006;0;;;1355;1497;;;;0;;
Brine;Brine;liquid;0.06006;0;;;1278;1500;;;;0;;
Brine;Brine;gas;0.06006;0;;;1140;45.03;;;;0;;
Spirulina;Spirulina;solid;0.0243262;0;;;804;1860;;;;0;;
Spirulina;Spirulina;liquid;0.0243262;0;;;804;1860;;;;0;;
Waste;Waste;solid;0.02307;0;;;804;1860;;;;0;;
Waste;Waste;liquid;0.02307;0;;;804;1860;;;;0;;
Cellulose;Cellulose;solid;0.0300262;0;;;804;1860;;;;0;;
A7LB_Helmet;A7LB_Helmet;solid;0.03;0;;;1243.1;1078.2;;;;0;;
A7LB_Visor;A7LB_Visor;solid;0.03;0;;;1187.1;860.6;;;;0;;
A7LB_UpperTorso;A7LB_UpperTorso;solid;0.03;0;;;1508.8;1235.8;;;;0;;
A7LB_LowerTorso;A7LB_LowerTorso;solid;0.029;0;;;1236.5;1420.8;;;;0;;
A7LB_Arm;A7LB_Arm;solid;0.03;0;;;1235.8;1420.4;;;;0;;
A7LB_Glove;A7LB_Glove;solid;0.03;0;;;1183.6;1322.7;;;;0;;
A7LB_Leg;A7LB_Leg;solid;0.03;0;;;1236.4;1420.8;;;;0;;
A7LB_Boot;A7LB_Boot;solid;0.03;0;;;1248.7;1216;;;;0;;
A7LB_PLSS;A7LB_PLSS;solid;0.03;0;;;1345.8;1331.5;;;;0;;
AmineSA9T;AmineSA9T;solid;0.03;0;;;636.7;2040;;;;0;;
Graphite;Graphite;solid;0.0120107;0;3923.15;5100.15;2100;850;;;;0;;
LiCl;LithiumChloride;solid;;0;;;;;;;;0;;
Zeolite5A;Zeolite5A;solid;0.03;0;;;1190;750;;;0.152;0;;
Zeolite5A_RK38;Zeolite5A_RK38;solid;0.03;0;;;1370;650;;;0.152;0;;
Zeolite13x;Zeolite13x;solid;0.03;0;;;1260;650;;;0.147;0;;
SilicaGel_40;SilicaGel_40;solid;0.03;0;;;1240;870;;;0.151;0;;
Sylobead_B125;Sylobead_B125;solid;0.03;0;;;1240;870;;;0.151;0;;
C42H69O13N5;Feces;solid;0.852030825;0;;;804;1860;;;;0;;
C2H6O2N2;UrineSolids;solid;0.09008;0;;;999.1;4188.5;;;;0;;
Human;Human;solid;0.03;0;;;985;4184;;;;0;;
Human_Tissue;Human_Tissue;solid;0.03;0;;;1059.9;3421;;;;0;;
Human_Skin;Human_Skin;solid;0.03;0;;;1090;3391;;;;0;;
Human_Fat_Subcutaneous;Human_Fat_Subcutaneous;solid;0.03;0;;;909.4;2348;;;;0;;
Human_Bone;Human_Bone;solid;0.03;0;;;1750;1500;;;;0;;
Human_Blood;Human_Blood;liquid;0.03;0;;;1060;3594;;;;0;;
Clothing_Sweat;ClothingSweatshirtLongsleeve;solid;0.03;0;;;500;1000;;;;0;https://de.wikipedia.org/wiki/Baumwolle ? And from above â€“ Cellulose?;
