Shortcut,Name,Phase,Molar Mass,Melting Point,Boiling Point,Density,Heat Capacity,Linear Expansion Coefficient,Modulus of Elasticity,
sSubstance,sName,ttxPhases,fMolarMass,fMeltPoint,fBoilPoint,fDensity,fCp,fExpCoeff,fModElast,number of properties is not limited. as long as the name is in the first row and the variablename in the second!
-,-,-,kg/mol,K,K,kg/m3,J/(kg*K),-,-,
Tb,Terbium,solid,0.15892534,1633.15,273.15,8250,,,3.99,
Dy,Dysprosium,solid,0.1625,1682.15,273.15,8560,,,3.84,
Ho,Holmium,solid,0.16493032,1743.15,273.15,8780,,3.97,,
Er,Erbium,solid,0.167259,1795.15,273.15,9050,,,4.11,
Tm,Thulium,solid,0.16893421,1818.15,273.15,9320,,,3.97,
Yb,Ytterbium,solid,0.17304,1097.15,273.15,6970,,,1.33,
Lu,Lutetium,solid,0.174967,1929.15,273.15,9840,,,4.11,
Hf,Hafnium,solid,0.17849,2500.15,4875.15,13310,,,10.9,
Ta,Tantalum,solid,0.1809479,3269.15,5698.15,16680,,6.5,20,
W,Tungsten,solid,0.18384,3683.15,5933.15,19260,,4.3,32.32,
Re,Rhenium,solid,0.186207,3453.15,5900.15,21030,,,37.2,
Os,Osmium,solid,0.19023,3318.15,5573.15,22590,,6.6,41.8,
Ir,Iridium,solid,0.192217,2683.15,4403.15,22560,,6.6,35.5,
Pt,Platinum,solid,0.195078,2045.15,4100.15,21450,130,9,27.83,
Au,Gold,solid,0.19696654,1337.55,3353.15,19320,128,14.3,17.32,
Hg,Mercury,solid,0.20059,234.15,629.75,13550,,,3.82,
Tl,Thallium,solid,0.2043833,576.65,1730.15,11850,,29,3.53,
Pb,Lead,solid,0.2072,600.65,2013.15,11340,129,29.4,4.3,
Bi,Bismuth,solid,0.20898038,544.45,1833.15,9800,,13.5,3.15,
Po,Polonium,solid,0.2089824,527.15,1235.15,9200,,,2.6,
At,Astatine,solid,0.2099871,575.15,610.15,,,,,
Rn,Radon,gas,0.2220176,202.15,211.35,9.23,94,,,
Fr,Francium,solid,0.2230197,300.15,950.15,,,,0.2,
Ra,Radium,solid,0.2260254,973.15,1413.15,5500,,,1.32,
Ac,Actinium,solid,0.2270278,1323.15,3473.15,10070,,,2.5,
Th,Thorium,solid,0.2320381,2023.15,5063.15,11720,,11,5.43,
Pa,Protactinium,solid,0.23103588,1827.15,273.15,15370,,,7.6,
U,Uranium,solid,0.23802891,1405.45,4091.15,18970,,,9.87,
Np,Neptunium,solid,0.2370482,913.15,273.15,20480,,,6.8,
Pu,Plutonium,solid,0.2440642,914.15,273.15,19740,,,5.4,
Am,Americium,solid,0.2430614,1267.15,273.15,13670,,,,
Cm,Curium,solid,0.2470703,1613.15,273.15,13510,,,,
Bk,Berkelium,solid,0.2470703,1259.15,273.15,13250,,,,
Cf,Californium,solid,0.2510796,1173.15,273.15,15100,,,,
Es,Einsteinium,solid,0.2520829,,,,,,,
Fm,Fermium,solid,0.2570951,,,,,,,
Mv,Mendelevium,solid,0.2580986,,,,,,,
No,Nobelium,solid,0.2591009,,,,,,,
Lr,Lawrentium,solid,0.26211,,,,,,,
Rf,Rutherfordium,solid,0.2611089,,,,,,,
Db,Dupnium,solid,0.2621144,,,,,,,
Sg,Seaborgium,solid,0.2631186,,,,,,,
Bh,Bohrium,solid,0.2621231,,,,,,,
Hs,Hassium,solid,0.2651306,,,,,,,
Mt,Meitnerium,solid,0.2661378,,,,,,,
NaCl,Sodium chloride,solid,,1074.15,1738.15,2165,,,,
C2H6,Ethane,gas,,90.15,184.15,1.264,,,,
Brine,Brine,solid,0.06006,,,1355,1497,,,
Brine,Brine,liquid,0.06006,,,1278,1500,,,
Brine,Brine,gas,0.06006,,,1140,45.03,,,
Spirulina,Spirulina,solid,0.0243262,,,804,1860,,,
Spirulina,Spirulina,liquid,0.0243262,,,804,1860,,,
Food,Food,solid,0.02432,,,804,1860,,,
Food,Food,liquid,0.02432,,,804,1860,,,
Waste,Waste,solid,0.02307,,,804,1860,,,
Waste,Waste,liquid,0.02307,,,804,1860,,,
